State      Recv-Q Send-Q  Local Address:Port    Peer Address:Port Process                                     
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3479         0.0.0.0:*                                                
LISTEN     0      32      192.168.122.1:53           0.0.0.0:*                                                
LISTEN     0      4096          0.0.0.0:58525        0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:2225         0.0.0.0:*     users:(("chrono-player",pid=113958,fd=16)) 
LISTEN     0      1024        127.0.0.1:2222         0.0.0.0:*     users:(("chrono-player",pid=113958,fd=22)) 
LISTEN     0      80          127.0.0.1:3306         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3333         0.0.0.0:*     users:(("chrono-grapher",pid=113917,fd=22))
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3479         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:3478         0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:6379         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:6666         0.0.0.0:*     users:(("chrono-keeper",pid=114056,fd=37)) 
LISTEN     0      511         127.0.0.1:7437         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:7777         0.0.0.0:*     users:(("chrono-keeper",pid=114056,fd=31)) 
LISTEN     0      1024        127.0.0.1:4444         0.0.0.0:*     users:(("chrono-grapher",pid=113917,fd=16))
LISTEN     0      128         127.0.0.1:4500         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:21847        0.0.0.0:*     users:(("chrono-keeper",pid=114056,fd=16)) 
LISTEN     0      1024        127.0.0.1:5555         0.0.0.0:*     users:(("chrono-visor",pid=113876,fd=22))  
LISTEN     0      4096          0.0.0.0:33005        0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:8305         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3479         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024   216.47.152.168:3478         0.0.0.0:*                                                
LISTEN     0      1024        127.0.0.1:8888         0.0.0.0:*     users:(("chrono-visor",pid=113876,fd=16))  
LISTEN     0      511         127.0.0.1:9689         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.30.1.1:3479         0.0.0.0:*                                                
